candle_end_time,open,close,high,low,volume
2021-01-09 08:00:00,9.274,9.7697,9.83,9.0315,178812.0827843
2021-01-10 08:00:00,9.7764,9.2965,10.001,8.6737,317690.25230398
2021-01-11 08:00:00,9.2954,8.287,9.3295,7.152,832416.44247561
2021-01-12 08:00:00,8.2893,8.3131,8.7011,7.9434,219492.68570274
2021-01-13 08:00:00,8.3229,10.929,11.374,7.9991,787148.21445472
2021-01-14 08:00:00,10.942,14.472,14.829,10.902,1553651.61549222
2021-01-15 08:00:00,14.472,13.199,14.936,11.853,1438441.71424305
2021-01-16 08:00:00,13.191,18.0,19.45,13.191,2250202.48966458
2021-01-17 08:00:00,17.979,17.119,18.276,16.333,1020597.36530758
2021-01-18 08:00:00,17.108,16.59,18.209,15.826,597389.74320264
2021-01-19 08:00:00,16.607,16.425,17.5,16.0,483995.69307819
2021-01-20 08:00:00,16.41,18.0,18.246,14.781,1194631.09691251
2021-01-21 08:00:00,18.022,15.964,18.145,15.01,1365853.88036889
2021-01-22 08:00:00,15.996,17.198,18.05,14.77,683506.15935993
2021-01-23 08:00:00,17.169,18.744,18.794,16.852,493055.04254836
2021-01-24 08:00:00,18.744,18.007,18.744,17.327,272506.0415586
2021-01-25 08:00:00,18.019,17.222,19.1,17.09,295892.59317384
2021-01-26 08:00:00,17.184,17.107,17.78,16.033,254315.19053956
2021-01-27 08:00:00,17.059,15.47,17.059,15.076,376385.82610388
2021-01-28 08:00:00,15.465,16.851,17.5,15.302,330183.90186811
2021-01-29 08:00:00,16.85,16.83,17.775,16.024,456845.54166049
2021-01-30 08:00:00,16.844,16.558,17.049,16.154,223401.90700203
2021-01-31 08:00:00,16.549,16.136,17.568,15.7,193791.68026399
2021-02-01 08:00:00,16.111,16.511,16.558,15.724,173501.11027484
2021-02-02 08:00:00,16.494,17.225,17.67,16.056,307684.78232669
2021-02-03 08:00:00,17.23,20.865,20.938,16.851,627680.58560971
2021-02-04 08:00:00,20.892,19.718,21.712,19.001,548241.34831369
2021-02-05 08:00:00,19.686,20.83,21.374,19.363,364545.27753625
2021-02-06 08:00:00,20.841,20.38,21.399,19.87,158909.75647008
2021-02-07 08:00:00,20.394,19.779,20.798,18.442,293107.17767821
2021-02-08 08:00:00,19.744,23.076,23.73,19.19,767515.14962936
2021-02-09 08:00:00,23.076,23.124,24.21,22.265,292990.96322808
2021-02-10 08:00:00,23.111,23.585,24.85,21.895,681896.41872377
2021-02-11 08:00:00,23.603,25.034,25.709,23.277,656901.48181922
2021-02-12 08:00:00,25.102,28.67,29.732,24.498,605031.57040542
2021-02-13 08:00:00,28.655,27.976,30.225,27.228,622400.88677115
2021-02-14 08:00:00,28.032,26.893,29.38,26.382,495165.89270743
2021-02-15 08:00:00,26.893,27.77,29.542,23.151,1042461.04363322
2021-02-16 08:00:00,27.779,30.132,31.0,26.844,722460.62325401
2021-02-17 08:00:00,30.095,31.945,32.415,29.635,409586.58577129
2021-02-18 08:00:00,31.976,31.05,32.567,30.549,156675.82512132
2021-02-19 08:00:00,31.135,34.782,34.992,29.515,432076.76664939
2021-02-20 08:00:00,34.772,38.931,42.2,34.641,961444.90816778
2021-02-21 08:00:00,38.914,39.602,40.517,38.0,448326.86862479
2021-02-22 08:00:00,39.601,37.592,39.672,30.938,1313773.50603828
2021-02-23 08:00:00,37.613,34.583,37.72,26.562,1463680.02896023
2021-02-24 08:00:00,34.544,33.693,36.764,31.856,578481.8224309
2021-02-25 08:00:00,33.706,31.251,35.236,30.936,362370.53473886
2021-02-26 08:00:00,31.256,31.416,33.503,27.967,926390.23394248
2021-02-27 08:00:00,31.466,33.528,35.636,31.362,641871.27101398
2021-02-28 08:00:00,33.539,33.785,34.649,29.818,767921.50468198
2021-03-01 08:00:00,33.919,35.634,35.647,33.109,250659.94951486
2021-03-02 08:00:00,35.655,36.17,37.937,34.458,429956.60046443
2021-03-03 08:00:00,36.22,37.117,38.725,36.22,190355.50184395
2021-03-04 08:00:00,37.103,35.35,38.424,34.422,372613.58158055
